name,email
Prof. Ganiyu Sobamowo,g.sobamowo@stateuniv.edu
Dr. Hadiza Musa,h.musa@stateuniv.edu
Dr. Uche Anyanwu,u.anyanwu@stateuniv.edu
Prof. Wale Babalakin,w.babalakin@stateuniv.edu
Dr. Laraba Shittu,l.shittu@stateuniv.edu
Dr. Emeka Igbokwe,e.igbokwe@stateuniv.edu
Prof. Bola Osinbajo,b.osinbajo@stateuniv.edu
Dr. Zara Abubakar,z.abubakar@stateuniv.edu
Dr. Godwin Emefiele,g.emefiele@stateuniv.edu
Prof. Amara Okezie,a.okezie@stateuniv.edu
Dr. Nuhu Ribadu,n.ribadu@stateuniv.edu
Dr. Ifeakachukwu Eze,i.eze@stateuniv.edu
Prof. Shade Awoyemi,s.awoyemi@stateuniv.edu
Dr. Abdulrahman Danbatta,a.danbatta@stateuniv.edu
Dr. Ogechi Nwodo,o.nwodo@stateuniv.edu
Prof. Femi Otedola,f.otedola@stateuniv.edu
Dr. Khadija Saidu,k.saidu@stateuniv.edu
Dr. Chima Okwo,c.okwo@stateuniv.edu
Prof. Bimbo Ogunkelu,b.ogunkelu@stateuniv.edu
Dr. Fatimah Abubakar,f.abubakar@stateuniv.edu
Dr. Nonso Okonjo,n.okonjo@stateuniv.edu
Prof. Ojo Madueke,o.madueke@stateuniv.edu
Dr. Ruqayya Sambo,r.sambo@stateuniv.edu
Dr. Okwui Enwezor,o.enwezor@stateuniv.edu
Prof. Adenike Grange,a.grange@stateuniv.edu
Dr. Ishaq Modibbo,i.modibbo@stateuniv.edu
Dr. Chinwe Ohajuruka,c.ohajuruka@stateuniv.edu
Prof. Kayode Fayemi,k.fayemi@stateuniv.edu
Dr. Bilkisu Yusuf,b.yusuf@stateuniv.edu
Dr. Ike Ekweremadu,i.ekweremadu@stateuniv.edu
Prof. Nimota Akanbi,n.akanbi@stateuniv.edu
Dr. Usman Baba,u.baba@stateuniv.edu
Dr. Ogonna Nwankwo,o.nwankwo@stateuniv.edu
Prof. Deji Adeyanju,d.adeyanju@stateuniv.edu
Dr. Amira Bello,am.bello@stateuniv.edu
Dr. Chukwudumebi Ojukwu,c.ojukwu@stateuniv.edu
Prof. Lanre Tejuosho,l.tejuosho@stateuniv.edu
Dr. Safiya Abba,s.abba@stateuniv.edu
Dr. Ifeyinwa Nwobi,i.nwobi@stateuniv.edu
Prof. Remi Tinubu,r.tinubu@stateuniv.edu
Dr. Jamilu Gwandu,j.gwandu@stateuniv.edu
Dr. Adaobi Tricia,a.tricia@stateuniv.edu
Prof. Kayode Egbetokun,k.egbetokun@stateuniv.edu
Dr. Sakina Dangote,s.dangote@stateuniv.edu
Dr. Onyekachi Wabara,o.wabara@stateuniv.edu
Prof. Seyi Makinde,s.makinde@stateuniv.edu
Dr. Hauwa Saidu,hs.saidu@stateuniv.edu
Dr. Nnaemeka Achebe,n.a.achebe@stateuniv.edu
Prof. Titi Ajayi,t.ajayi@stateuniv.edu
Dr. Mohammed Sanusi,m.sanusi@stateuniv.edu
Dr. Uloma Mba,u.mba@stateuniv.edu
Prof. Wole Soyinka,w.soyinka@stateuniv.edu
Dr. Adama Indimi,a.indimi@stateuniv.edu
Dr. Ifeanyi Ubah,i.ubah@stateuniv.edu
Prof. Mosun Bello,m.bello@stateuniv.edu
Dr. Sadiya Umar,s.umar@stateuniv.edu
Dr. Ebere Onwudiwe,e.onwudiwe@stateuniv.edu
Prof. Dele Alake,d.alake@stateuniv.edu
Dr. Aishatu Bagudu,a.bagudu@stateuniv.edu
Dr. Ikechukwu Ihejirika,i.ihejirika@stateuniv.edu
Prof. Peju Akande,p.akande@stateuniv.edu
Dr. Yusuf Abubakar,y.abubakar@stateuniv.edu
Dr. Chidimma Aneke,c.aneke@stateuniv.edu
Prof. Biodun Adesanya,bi.adesanya@stateuniv.edu
Dr. Halimatu Sadiya,h.sadiya@stateuniv.edu
Dr. Oge Okonkwo,og.okonkwo@stateuniv.edu
Prof. Gbenga Ashafa,g.ashafa@stateuniv.edu
Dr. Maimunatu Yaro,m.m.yaro@stateuniv.edu
Dr. Uzoma Abonta,u.abonta@stateuniv.edu
Prof. Fela Durotoye,f.durotoye@stateuniv.edu
Dr. Sadiq Mohammed,s.mohammed@stateuniv.edu
Dr. Nkeiru Odigwe,n.odigwe@stateuniv.edu
Prof. Sunday Igboho,s.igboho@stateuniv.edu
Dr. Rabi Ajia,r.ajia@stateuniv.edu
Dr. Emem Isong,e.isong@stateuniv.edu
Prof. Babajide Sanwoolu,b.sanwoolu@stateuniv.edu
Dr. Maryam Uwais,m.uwais@stateuniv.edu
Dr. Obiajulu Ezekwesili,o.ezekwesili@stateuniv.edu
Prof. Dapo Olorunyomi,d.olorunyomi@stateuniv.edu
Dr. Asma'u Joda,a.joda@stateuniv.edu
Dr. Chibuike Amaechi,c.amaechi@stateuniv.edu
Prof. Oluremi Sonaiya,o.sonaiya@stateuniv.edu
Dr. Talatu Usman,t.usman@stateuniv.edu
Dr. Okey Enelamah,o.enelamah@stateuniv.edu
Prof. Modele Sarafa,m.sarafa@stateuniv.edu
Dr. Balkisu Aliyu,b.aliyu@stateuniv.edu
Dr. Chukwuma Soludo,c.soludo@stateuniv.edu
Prof. Joke Orelope,j.orelope@stateuniv.edu
Dr. Hassan Usman,h.usman@stateuniv.edu
Dr. Amarachi Okafor,am.okafor@stateuniv.edu
Prof. Kashim Ibrahim,ka.ibrahim@stateuniv.edu
Dr. Patience Ozokwor,p.ozokwor@stateuniv.edu
Dr. Kingsley Moghalu,k.moghalu@stateuniv.edu
Prof. Toyin Falola,t.falola@stateuniv.edu
Dr. Hussaina Faruk,h.faruk@stateuniv.edu
Dr. Azuka Ogujiuba,a.ogujiuba@stateuniv.edu
Prof. Niyi Osundare,n.osundare@stateuniv.edu
Dr. Sa'adatu Abdullahi,s.abdullahi@stateuniv.edu
Dr. Kanayo Awani,k.awani@stateuniv.edu
Prof. Ayo Oritsejafor,a.oritsejafor@stateuniv.edu
Dr. Lubabatu Ahmad,l.ahmad@stateuniv.edu
Dr. Obiora Okonkwo,ob.okonkwo@stateuniv.edu
Prof. Funso Williams,f.williams@stateuniv.edu
Dr. Zubaida Audu,z.audu@stateuniv.edu
Dr. Nedu Wazobia,n.wazobia@stateuniv.edu
Prof. Tola Akerele,t.akerele@stateuniv.edu
Dr. Farida Waziri,f.waziri@stateuniv.edu
Dr. Eze Onyekpere,e.onyekpere@stateuniv.edu
